,Store Number,Store Type,Address,City,State,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
94,106,Walmart Supercenter, 1405 Middle Rd, Fulton,KY,42041,4555.0,43.9,30026.0,19611.0,1065.0,23.380900109769485
95,104,Walmart Supercenter, 15427 S First St, Milan,TN,38358,11524.0,41.4,46681.0,23424.0,1687.0,14.639014231169734
96,105,Walmart Supercenter, 2301 S Harper Rd, Corinth,MS,38834,27946.0,40.0,38925.0,21433.0,5229.0,18.711085665211478
97,108,Walmart Supercenter, 1608 S Division St, Guthrie,OK,73044,23349.0,37.3,50338.0,23155.0,4068.0,17.422587691121674
98,107,Walmart Supercenter, 134 Courtright Rd, Martin,TN,38237,15933.0,28.9,36265.0,20086.0,3302.0,20.724282934789432
99,109,Walmart, 2000 N Walnut St, Cameron,MO,64429,12676.0,36.6,48562.0,18502.0,1351.0,10.657936257494478
100,110,Walmart, 16313 New Independence Parkway, Winter Garden,FL,34787,57570.0,36.0,65743.0,32553.0,5257.0,9.131492096578079
101,113,Walmart Supercenter, 2001 S 1St St, Chickasha,OK,73018,20033.0,38.2,43893.0,24721.0,3557.0,17.75570308990166
102,111,Walmart Supercenter, 2700 S Santa Fe Ave, Chanute,KS,66720,11381.0,39.3,42614.0,23454.0,2494.0,21.913715842193128
103,114,Walmart Supercenter, 300 Walmart Cir, Booneville,MS,38829,18969.0,39.0,31915.0,17543.0,4016.0,21.171384891138175
104,112,Walmart Supercenter, 1010 Highway 12 W, Starkville,MS,39759,44057.0,26.3,37373.0,22416.0,12549.0,28.48355539414849
105,13,Walmart Supercenter, 2705 Grand Ave, Carthage,MO,64836,23111.0,36.6,43175.0,21011.0,5185.0,22.43520401540392
106,116,Walmart, 929 S Pine St, Vivian,LA,71082,5522.0,41.4,32957.0,17477.0,1610.0,29.156102861282143
107,119,Walmart Supercenter, 3150 Harrison St, Batesville,AR,72501,25826.0,39.2,38625.0,23278.0,4892.0,18.942151320374816
108,59,Walmart Supercenter, 1501 S Range Line Rd, Joplin,MO,64804,35545.0,39.3,48574.0,28396.0,4686.0,13.183288788859192
109,115,Walmart Supercenter, 5509 Highway 45 Alt S, West Point,MS,39773,15997.0,39.3,32788.0,20029.0,4201.0,26.261173970119398
110,117,Walmart, 501 S Park Dr, Broken Bow,OK,74728,11128.0,38.5,34991.0,18016.0,2733.0,24.559669302659955
111,124,Walmart Supercenter, 8801 Baseline Rd, Little Rock,AR,72209,30854.0,30.4,34363.0,15910.0,9178.0,29.746548259544955
112,121,Walmart Supercenter, 1800 S Wood Dr, Okmulgee,OK,74447,16604.0,35.7,33356.0,20304.0,3535.0,21.290050590219224
113,125,Walmart Supercenter, 2425 South Zero St, Fort Smith,AR,72901,21639.0,37.1,29818.0,19148.0,6975.0,32.23346735061694
114,122,Walmart Supercenter, 3051 E Jackson Blvd, Jackson,MO,63755,25385.0,37.5,58364.0,27953.0,2779.0,10.947409887728973
115,127,Walmart Supercenter, 1910 Martin Luther King Blvd, Malvern,AR,72104,23610.0,40.0,39577.0,20083.0,4006.0,16.967386700550612
116,126,Walmart Supercenter, 2700 S Shackleford Rd, Little Rock,AR,72205,24222.0,35.8,46367.0,30982.0,3285.0,13.562051027991082
117,129,Walmart Supercenter, 1715 N Commerce St, Ardmore,OK,73401,36058.0,37.7,49222.0,25816.0,5885.0,16.320927394752896
118,118,Walmart Supercenter, 1515 Highway 278 E, Amory,MS,38821,12928.0,39.2,42479.0,22060.0,2016.0,15.594059405940595
119,128,Walmart Supercenter, 1911 W Parker Rd, Jonesboro,AR,72404,26545.0,34.4,54976.0,33437.0,2635.0,9.926539838010925
120,120,Walmart Supercenter, 2716 N Central Ave, Humboldt,TN,38343,15126.0,43.5,38079.0,21341.0,3213.0,21.241570805236016
121,123,Walmart Supercenter, 1500 E Wrangler Blvd, Seminole,OK,74868,13700.0,37.0,41335.0,20859.0,2612.0,19.065693430656935
122,133,Walmart Supercenter, 297 Hwy 32 By-Pass E, Ashdown,AR,71822,8872.0,41.9,35822.0,23686.0,1556.0,17.538322813345356
123,131,Walmart Supercenter, 2311 S Jefferson Ave, Mount Pleasant,TX,75455,28560.0,34.0,46490.0,21254.0,5449.0,19.079131652661065
124,132,Walmart Supercenter, 200 Starlite Dr, Kingfisher,OK,73750,7475.0,36.3,64306.0,33106.0,614.0,8.214046822742475
125,134,Walmart Supercenter, 210 Regional Dr, Elk City,OK,73644,14966.0,33.1,57311.0,25736.0,1637.0,10.938126419885073
126,135,Walmart Supercenter, 1000 Graves St, Chillicothe,MO,64601,11987.0,39.6,45156.0,21444.0,2110.0,17.602402602819723
127,137,Walmart Supercenter, 111 N Perkins Rd, Stillwater,OK,74075,25217.0,25.5,32639.0,21883.0,7439.0,29.499940516318357
128,139,Walmart Supercenter, 2015 S Green Ave, Purcell,OK,73080,9592.0,38.2,50750.0,24769.0,1589.0,16.565888240200167
129,140,Walmart Supercenter, 2500 Daniel Mccall Dr, Lufkin,TX,75904,33820.0,35.7,47316.0,23274.0,5684.0,16.80662329982259
130,141,Walmart Supercenter, 8301 Rogers Ave, Fort Smith,AR,72903,25989.0,38.6,43519.0,30407.0,5667.0,21.80537919889184
131,136,Walmart, 1219 W Doolin Ave, Blackwell,OK,74631,7506.0,41.1,41932.0,24254.0,1568.0,20.889954702904344
132,143,Walmart Supercenter, 310 W 5Th St, Benton,KY,42025,19679.0,42.7,49240.0,26712.0,1902.0,9.6651252604299
133,145,Walmart Supercenter, 3 Town Center Dr, Bowling Green,MO,63334,9005.0,36.0,46157.0,18366.0,1213.0,13.470294280955025
134,144,Walmart Supercenter, 2875 W Mrtn Luther K, Fayetteville,AR,72704,25035.0,31.0,60524.0,30841.0,3203.0,12.794088276413023
135,149,Walmart Supercenter, 184 Old Winnfield Rd, Jonesboro,LA,71251,9195.0,37.8,31275.0,17163.0,2481.0,26.982055464926592
136,67,Walmart Supercenter, 600 Highway 71 N, Mena,AR,71953,14295.0,44.7,34803.0,19568.0,3518.0,24.610003497726478
137,147,Walmart Supercenter, 401 N Us Highway 75, Denison,TX,75020,21891.0,42.9,46582.0,26692.0,3103.0,14.174775021698414
138,138,Walmart Supercenter, 1923 E Kearney St, Springfield,MO,65803,41038.0,35.8,35871.0,20583.0,9577.0,23.33690725668892
139,151,Walmart Supercenter, 432 S George Nigh Expy, Mcalester,OK,74501,28069.0,39.2,47239.0,24989.0,4420.0,15.746909401831202
140,150,Walmart Supercenter, 3215 Williams Ave, Woodward,OK,73801,15289.0,35.2,55838.0,28108.0,1769.0,11.570410098763817
141,153,Walmart Supercenter, 202 Park Plaza Dr, New Albany,MS,38652,17267.0,38.6,40413.0,20746.0,3220.0,18.648288643076388
142,154,Walmart, 16032 Fifteen Mile Boulevard, Abingdon,VA,24211,9890.0,48.5,61697.0,36049.0,732.0,7.401415571284125
143,92,Walmart Supercenter, 3020 S Elliott Ave, Aurora,MO,65605,12581.0,42.3,39349.0,20068.0,1936.0,15.388283920197123
144,152,Walmart Supercenter, 12862 State Route 21, De Soto,MO,63020,20133.0,41.3,49759.0,23043.0,3037.0,15.084686832563452
145,158,Walmart Supercenter, 2021 N State Highway 121, Bonham,TX,75418,14318.0,42.3,41508.0,21166.0,1811.0,12.648414583042324
146,160,Walmart Supercenter, 219 Highway 412, Ash Flat,AR,72513,2808.0,51.0,31121.0,15785.0,658.0,23.433048433048434
147,155,Walmart Supercenter, 5219 Highway 51 N, Senatobia,MS,38668,14140.0,35.3,51927.0,23719.0,2148.0,15.190947666195191
148,157,Walmart Supercenter, 3509 E Race Ave, Searcy,AR,72143,36127.0,31.5,45246.0,23453.0,5662.0,15.672488720347662
149,161,Walmart Supercenter, 180 Veterans Dr N, Huntingdon,TN,38344,8065.0,43.9,39471.0,21443.0,1817.0,22.529448233106013
150,162,Walmart Supercenter, 1201 W Petree Rd, Anadarko,OK,73005,9545.0,34.0,34347.0,20460.0,2685.0,28.129910948140388
151,166,Walmart Supercenter, 1433 S Sam Houston Blvd, Houston,MO,65483,4296.0,46.0,30496.0,19516.0,1007.0,23.44040968342644
152,167,Walmart Supercenter, 910 Unity Rd, Crossett,AR,71635,12081.0,42.1,36179.0,20913.0,2420.0,20.03145434980548
153,165,Walmart Supercenter, 2121 Us Highway 79 S, Henderson,TX,75654,12299.0,35.8,49375.0,24152.0,1844.0,14.993088869013741
154,168,Walmart Supercenter, 12101 E 96Th St N, Owasso,OK,74055,44415.0,35.9,72642.0,33026.0,2929.0,6.594618935044467
155,159,Walmart Supercenter, 415 Conley Rd, Columbia,MO,65201,44222.0,22.8,35396.0,20511.0,14132.0,31.95694450725883
156,169,Walmart Supercenter, 322 Brownsville Loop, Lonoke,AR,72086,9887.0,38.7,53125.0,25517.0,1266.0,12.80469303125316
157,171,Walmart Supercenter, 950 California Ave Sw, Camden,AR,71701,18968.0,40.2,31983.0,19580.0,5100.0,26.887389287220582
158,173,Walmart Supercenter, #1 Memorial Drive, Potosi,MO,63664,8810.0,41.1,37366.0,19269.0,1315.0,14.92622020431328
159,172,Walmart Supercenter, 1701 Aroy Dr, Washington,MO,63090,21627.0,42.1,64650.0,33196.0,1706.0,7.888287788412632
160,174,Walmart Supercenter, 2700 Clearlake Rd, Cocoa,FL,32922,15392.0,35.3,27201.0,18727.0,5520.0,35.86278586278586
161,176,Walmart, 822 City Ave S, Ripley,MS,38663,12451.0,38.9,40975.0,20678.0,2943.0,23.636655690306
162,177,Walmart Supercenter, 1210 Mineral Wells Ave, Paris,TN,38242,20397.0,42.1,40555.0,21929.0,3849.0,18.870422120900134
163,175,Walmart Supercenter, 560 W Poplar Ave, Collierville,TN,38017,53579.0,39.7,109455.0,45863.0,2365.0,4.414042815282107
164,178,Walmart Supercenter, 914 E Oklahoma Blvd, Alva,OK,73717,6949.0,32.7,58938.0,29441.0,791.0,11.382932796085768
165,179,Walmart Supercenter, 3520 W Sunshine St, Springfield,MO,65807,58008.0,31.8,38862.0,22075.0,11838.0,20.40752999586264
166,180,Walmart Supercenter, 1311 S Jackson St, Jacksonville,TX,75766,26671.0,37.6,42523.0,21251.0,4768.0,17.877094972067038
167,182,Walmart Supercenter, 1831 Highway 1 S, Greenville,MS,38701,22302.0,37.3,28848.0,19381.0,8070.0,36.185095507129404
168,181,Walmart Supercenter, 800 James Bowie Dr, New Boston,TX,75570,10969.0,38.3,47835.0,18800.0,1328.0,12.106846567599598
169,130,Walmart Supercenter, 1000 W Shawnee St, Muskogee,OK,74401,16495.0,38.4,34164.0,20714.0,4401.0,26.680812367384057
170,184,Walmart Supercenter, 600 Ne Coronado Dr, Blue Springs,MO,64014,24865.0,34.6,71503.0,32365.0,1573.0,6.3261612708626584
171,183,Walmart Supercenter, 159 Highway 15 S, Louisville,MS,39339,14672.0,42.0,33597.0,21960.0,3772.0,25.708833151581242
172,72,Walmart Supercenter, 2710 N Broadway St, Pittsburg,KS,66762,24747.0,28.7,35277.0,20528.0,5947.0,24.031195700488947
