,City,State,City_State,Latitude,Longitude
146, Ash Flat,AR," Ash Flat, AR",36.2239566,-91.60847509999999
147, Senatobia,MS," Senatobia, MS",34.6176032,-89.96870109999999
148, Searcy,AR," Searcy, AR",35.2468204,-91.73368459999999
149, Huntingdon,TN," Huntingdon, TN",36.0006178,-88.4281063
150, Anadarko,OK," Anadarko, OK",35.072562,-98.2436625
151, Houston,MO," Houston, MO",37.3261588,-91.95598799999999
152, Crossett,AR," Crossett, AR",33.1281779,-91.9612427
153, Henderson,TX," Henderson, TX",32.1532156,-94.7993802
154, Owasso,OK," Owasso, OK",36.2695388,-95.8547119
155, Columbia,MO," Columbia, MO",38.9517053,-92.3340724
156, Lonoke,AR," Lonoke, AR",34.7839795,-91.8998611
157, Camden,AR," Camden, AR",33.5845581,-92.8343294
158, Potosi,MO," Potosi, MO",37.936438,-90.7879086
159, Washington,MO," Washington, MO",38.55810719999999,-91.01208779999999
160, Cocoa,FL," Cocoa, FL",28.3861159,-80.7419984
161, Ripley,MS," Ripley, MS",34.7298181,-88.9506181
162, Paris,TN," Paris, TN",36.3020023,-88.32671069999999
163, Collierville,TN," Collierville, TN",35.042036,-89.6645266
164, Alva,OK," Alva, OK",36.8050308,-98.6664737
165, Springfield,MO," Springfield, MO",37.2089572,-93.29229889999999
166, Jacksonville,TX," Jacksonville, TX",31.963778,-95.27050419999999
167, Greenville,MS," Greenville, MS",33.399661,-91.0377029
168, New Boston,TX," New Boston, TX",33.4598415,-94.4154787
169, Muskogee,OK," Muskogee, OK",35.7478769,-95.3696909
170, Blue Springs,MO," Blue Springs, MO",39.0169509,-94.2816148
171, Louisville,MS," Louisville, MS",33.1237377,-89.0550624
172, Pittsburg,KS," Pittsburg, KS",37.410884,-94.70496
173, Gainesville,TX," Gainesville, TX",33.62594139999999,-97.1333453
174, Cape Girardeau,MO," Cape Girardeau, MO",37.3058839,-89.51814759999999
175, El Dorado,KS," El Dorado, KS",37.81724,-96.8622524
176, Columbia,TN," Columbia, TN",35.6150716,-87.0352831
177, Kirksville,MO," Kirksville, MO",40.19475389999999,-92.5832496
178, Kennett,MO," Kennett, MO",36.2361762,-90.0556493
179, Baytown,TX," Baytown, TX",29.7355047,-94.97742740000001
180, Carbondale,IL," Carbondale, IL",37.7272727,-89.2167501
181, Gilmer,TX," Gilmer, TX",32.7287472,-94.94243790000002
182, Excelsior Springs,MO," Excelsior Springs, MO",39.3391712,-94.22605589999999
183, Paris,TX," Paris, TX",33.6609389,-95.55551299999999
184, Macomb,IL," Macomb, IL",40.4592076,-90.67179709999999
185, Jacksonville,IL," Jacksonville, IL",39.733936,-90.2290098
186, Salem,IL," Salem, IL",38.6269929,-88.9456158
187, Belleville,IL," Belleville, IL",38.5200504,-89.9839935
188, Lincoln,IL," Lincoln, IL",40.1483768,-89.3648183
189, Princeton,KY," Princeton, KY",37.1092162,-87.8819594
190, Brookfield,MO," Brookfield, MO",39.7844687,-93.07353479999999
191, Philadelphia,MS," Philadelphia, MS",32.7715227,-89.1167275
192, Cleveland,OK," Cleveland, OK",36.3100688,-96.4641886
193, Mckinney,TX," Mckinney, TX",33.1972465,-96.6397822
194, Nacogdoches,TX," Nacogdoches, TX",31.6035129,-94.6554874
195, Holdenville,OK," Holdenville, OK",35.0803617,-96.3991765
196, Norman,OK," Norman, OK",35.2225668,-97.4394777
197, Ozark,AR," Ozark, AR",35.4870295,-93.8276965
198, Hillsboro,TX," Hillsboro, TX",32.0109886,-97.13000609999999
199, Litchfield,IL," Litchfield, IL",39.1753256,-89.65425789999999
200, Jasper,TX," Jasper, TX",30.9201995,-93.9965759
201, Pontotoc,MS," Pontotoc, MS",34.2478831,-88.998673
202, Sedalia,MO," Sedalia, MO",38.7044609,-93.2282613
203, Marion,IL," Marion, IL",37.7306054,-88.9331256
204, Lewisville,TX," Lewisville, TX",33.046233,-96.994174
205, Selmer,TN," Selmer, TN",35.1700834,-88.59227039999999
206, Sparta,IL," Sparta, IL",38.1231053,-89.70176579999999
207, Natchitoches,LA," Natchitoches, LA",31.7607195,-93.08627489999999
208, Yukon,OK," Yukon, OK",35.5067215,-97.76254410000001
209, Atlanta,TX," Atlanta, TX",33.1137419,-94.16435369999999
210, Mount Vernon,IL," Mount Vernon, IL",38.3172714,-88.9031201
211, Ada,OK," Ada, OK",34.774531,-96.6783449
212, El Reno,OK," El Reno, OK",35.5322741,-97.9550493
213, Trumann,AR," Trumann, AR",35.6736895,-90.5073285
214, Cleburne,TX," Cleburne, TX",32.3476438,-97.38668369999999
215, Atoka,OK," Atoka, OK",34.3859257,-96.12832519999999
216, Paris,AR," Paris, AR",35.2920325,-93.7299173
217, Kansas City,MO," Kansas City, MO",39.0997265,-94.5785667
218, Corning,AR," Corning, AR",36.4078388,-90.5798336
219, Harrisburg,IL," Harrisburg, IL",37.7383812,-88.540607
220, Pulaski,TN," Pulaski, TN",35.1998023,-87.0308412
221, Crockett,TX," Crockett, TX",31.3182359,-95.4566136
222, Paola,KS," Paola, KS",38.5722353,-94.8791294
223, Kosciusko,MS," Kosciusko, MS",33.0576295,-89.58757639999999
224, Anna,IL," Anna, IL",37.4603274,-89.2470282
225, Wentzville,MO," Wentzville, MO",38.81144,-90.8529107
226, Winnfield,LA," Winnfield, LA",31.9254413,-92.6395931
227, Commerce,TX," Commerce, TX",33.2470567,-95.8999656
228, Skiatook,OK," Skiatook, OK",36.3684245,-96.0013847
229, Mexia,TX," Mexia, TX",31.6798895,-96.482203
230, Crowley,TX," Crowley, TX",32.5790251,-97.3625172
231, Warsaw,MO," Warsaw, MO",38.2430811,-93.3818711
232, Burleson,TX," Burleson, TX",32.5420821,-97.3208492
233, Henryetta,OK," Henryetta, OK",35.4398261,-95.98194289999999
234, Olney,IL," Olney, IL",38.7308811,-88.0853154
235, Jerseyville,IL," Jerseyville, IL",39.1200471,-90.3284479
236, Du Quoin,IL," Du Quoin, IL",38.0114393,-89.2361935
237, Mineola,TX," Mineola, TX",32.6631884,-95.4882896
238, Glen Carbon,IL," Glen Carbon, IL",38.7483814,-89.98315799999999
239, Morganfield,KY," Morganfield, KY",37.6833776,-87.9166915
240, Hot Springs,AR," Hot Springs, AR",34.5037004,-93.0551795
